TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
ArthCOI,ESV_069388,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.8
ArthCOI,ESV_069387,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.8
ArthCOI,ESV_069386,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Macalla,Macalla zelleri,GU802036,100
ArthCOI,ESV_069385,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.8
ArthCOI,ESV_069384,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Macalla,Macalla zelleri,GU801564,100
ArthCOI,ESV_069373,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus kennicottii,MG464430,98.1
ArthCOI,ESV_069373,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR148851,98.7
ArthCOI,ESV_069373,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR147965,98.7
ArthCOI,ESV_069373,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR140837,98.1
ArthCOI,ESV_069373,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM533552,98.1
ArthCOI,ESV_069373,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Hypochlora,Hypochlora alba,KM530673,98.7
ArthCOI,ESV_069373,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM529373,98.1
ArthCOI,ESV_069247,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Pococera,Pococera euphemella,HM428192,100
ArthCOI,ESV_069247,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,,GU690830,100
ArthCOI,ESV_069383,Eukaryota,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Asterocampa,Asterocampa celtis,JF855361,98.7
ArthCOI,ESV_069382,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma stypticellum,MG465735,98.7
ArthCOI,ESV_069382,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma phaeoboreas,KU875216,98.7
ArthCOI,ESV_069382,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma sp. BOLD-2016,KR941417,98.1
ArthCOI,ESV_069382,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma electellum,JN305904,98.7
ArthCOI,ESV_069382,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma stypticellum,HM415440,98.1
ArthCOI,ESV_069382,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,,GU691672,98.7
ArthCOI,ESV_069381,Eukaryota,Arthropoda,Arachnida,Araneae,Theridiidae,Rhomphaea,Rhomphaea nasica,MT738845,93.6
ArthCOI,ESV_069381,Eukaryota,Arthropoda,Arachnida,Araneae,Araneidae,,,KR526583,94.3
ArthCOI,ESV_069321,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Lespesia,Lespesia aletiae,GU694780,100
ArthCOI,ESV_069299,Eukaryota,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Asterocampa,Asterocampa celtis,JF855361,99.4
ArthCOI,ESV_060207,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Homoeosoma,Homoeosoma electellum,JN305904,100
ArthCOI,ESV_060207,Eukaryota,Arthropoda,Insecta,Lepidoptera,,,,GU691672,100
ArthCOI,ESV_069380,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_069379,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus kennicottii,MG464430,98.7
ArthCOI,ESV_069379,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR148851,98.1
ArthCOI,ESV_069379,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR147965,98.1
ArthCOI,ESV_069379,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Hypochlora,Hypochlora alba,KM530673,98.1
ArthCOI,ESV_069378,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR148851,99.4
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR148186,98.7
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR147965,98.7
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR140837,99.4
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR140408,98.7
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM536203,98.7
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus triangularis,KM535032,98.7
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM533552,98.7
ArthCOI,ESV_069377,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM529373,98.7
ArthCOI,ESV_069376,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR148851,98.7
ArthCOI,ESV_069376,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR147965,98.7
ArthCOI,ESV_069376,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR140837,98.1
ArthCOI,ESV_069376,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM533552,98.1
ArthCOI,ESV_069376,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Hypochlora,Hypochlora alba,KM530673,98.7
ArthCOI,ESV_069376,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM529373,98.1
ArthCOI,ESV_069375,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.8
ArthCOI,ESV_069374,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR148851,98.1
ArthCOI,ESV_069374,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR147965,98.7
ArthCOI,ESV_069374,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR140837,98.1
ArthCOI,ESV_069374,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM533552,98.1
ArthCOI,ESV_069374,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA3062,KM529373,98.1
ArthCOI,ESV_069372,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_069371,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_069370,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_022209,Eukaryota,Oomycota,unk_class,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia unispora,HQ709056,81.6
ArthCOI,ESV_022209,Eukaryota,Oomycota,unk_class,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia monilifera,HQ709037,81.6
ArthCOI,ESV_022209,Eukaryota,Oomycota,unk_class,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia litoralis,HQ709033,81.6
ArthCOI,ESV_022209,Eukaryota,Oomycota,unk_class,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia eccentrica,HQ709024,81.6
ArthCOI,ESV_022209,Eukaryota,Oomycota,unk_class,Saprolegniales,Saprolegniaceae,Achlya,Achlya sparrowii,HQ708181,82.2
ArthCOI,ESV_022209,Eukaryota,Oomycota,unk_class,Saprolegniales,Saprolegniaceae,Achlya,Achlya colorata,HQ708164,82.2
ArthCOI,ESV_010959,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis,Melipotis indomita,KJ380299,100
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. BIOUG23892-B09,MG445324,94.9
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis plutellae,MG439660,94.9
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. BIOUG21689-A08,MF935171,95.5
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. BOLD-2016,KR893457,94.9
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. BOLD-2016,KR808992,95.5
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. BOLD-2016,KR786167,94.9
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,,,,JN300312,94.9
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. BBHYI896-10,JN292744,95.5
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. Whitfield08,HQ550328,94.9
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. jft48,HM435422,95.5
ArthCOI,ESV_069368,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis sp. jft48,HM423435,94.9
ArthCOI,ESV_029419,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis,Melipotis indomita,KJ380534,100
ArthCOI,ESV_029419,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis,Melipotis ochrodes,JQ554827,100
ArthCOI,ESV_010947,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis,Melipotis indomita,KJ380690,100
ArthCOI,ESV_010947,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Melipotis,Melipotis indomita,KJ378409,100
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MG363365,98.1
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MG359802,98.1
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MF128044,98.7
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,,,KX781900,98.1
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KT146932,98.1
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KT136271,98.1
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KR453102,98.7
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KR448144,98.1
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KJ375046,98.1
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,GU438340,98.7
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,GU093962,98.7
ArthCOI,ESV_069367,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,GU093957,98.1
ArthCOI,ESV_069366,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,MF132046,98.7
ArthCOI,ESV_069366,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HQ583249,99.4
ArthCOI,ESV_069366,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HM427539,98.7
ArthCOI,ESV_069366,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HM423714,98.7
ArthCOI,ESV_069365,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,MF132046,98.7
ArthCOI,ESV_069365,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HQ583249,99.4
ArthCOI,ESV_069365,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HM427539,98.7
ArthCOI,ESV_069365,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HM423714,98.7
ArthCOI,ESV_069364,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,MF132046,98.7
ArthCOI,ESV_069364,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HQ583249,99.4
ArthCOI,ESV_069364,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HM427539,98.7
ArthCOI,ESV_069364,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HM423714,98.7
ArthCOI,ESV_069363,Eukaryota,Arthropoda,Insecta,Phasmatodea,Diapheromeridae,,,HQ582208,98.1
ArthCOI,ESV_069362,Eukaryota,Arthropoda,Arachnida,Araneae,Dictynidae,Dictyna,Dictyna bellans,KT611587,98.7
ArthCOI,ESV_069362,Eukaryota,Arthropoda,Arachnida,Araneae,Dictynidae,Dictyna,Dictyna bellans,KT610474,99.4
ArthCOI,ESV_069362,Eukaryota,Arthropoda,Arachnida,Araneae,Dictynidae,Dictyna,Dictyna sp. 1GAB,HQ924381,98.7
ArthCOI,ESV_069361,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Plusiodonta,Plusiodonta compressipalpis,HQ583249,100
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MG363365,98.7
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MG359802,98.7
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MF128044,99.4
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,,,KX781900,98.7
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KT146932,98.7
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KT136271,98.7
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KR453102,99.4
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KR448144,98.7
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KJ375046,98.7
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,GU438340,99.4
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,GU093962,99.4
ArthCOI,ESV_069360,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,GU093957,98.7
ArthCOI,ESV_069338,Eukaryota,Arthropoda,Insecta,Hemiptera,Membracidae,,,KX781908,92.4
ArthCOI,ESV_069338,Eukaryota,Arthropoda,Insecta,Hemiptera,Membracidae,Stictocephala,Stictocephala taurina,KR560324,92.4
ArthCOI,ESV_069244,Eukaryota,Arthropoda,Insecta,Phasmatodea,Diapheromeridae,,,HQ582208,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BIOUG21526-A01,MG469291,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BIOUG21146-C08,MG467613,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BIOUG21541-F11,MG467154,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BIOUG30456-G10,MG382391,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BIOUG30456-H01,MG380981,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BIOUG30456-G11,MG376960,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BIOUG24448-C09,MG375676,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA4555,KT706695,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD:AAA4555,KR381492,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD-2016,KR148366,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD-2016,KR146518,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD-2016,KR143565,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus bivittatus,KR141481,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BOLD-2016,KR140659,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus bivittatus,KR140392,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus bivittatus,KM537768,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,KM536571,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus bivittatus,KM530587,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,,,KM530155,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus tunicae,KM528824,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BBOWC167-10,JN294663,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BBOWC093-10,JN294601,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. BBOWC069-10,JN294582,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. SIOCN086-10,HM383986,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. SIOCN070-10,HM383973,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. SIOCN053-10,HM383957,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. SIOCN051-10,HM383955,100
ArthCOI,ESV_013228,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sp. SIOCN050-10,HM383954,100
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MG363365,98.7
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MG359802,98.7
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,MF128044,99.4
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,,,KX781900,98.7
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KT146932,98.7
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KT136271,98.7
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KR453102,99.4
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KR448144,98.7
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,KJ375046,98.7
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,GU438340,99.4
ArthCOI,ESV_005670,Eukaryota,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena scabra,GU093962,99.4
