BatchId,ClientId,SampleId,ClientSampleId,Capture time (MT),Lat,Long,SiteName,PublishStatus
JVB3259,zacchaeus.compson@unt.edu,S088675.0,29-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088674.1,32-07,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088673.1,34-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088672.1,36-07,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088671.1,41-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088670.1,45-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088669.0,22-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088668.1,27-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088667.1,31-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088666.1,32-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088665.0,35-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088664.0,36-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088663.1,41-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088662.0,46-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088661.1,23-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088660.1,27-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088659.0,32-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088658.0,33-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088657.0,35-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088656.1,36-11,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088655.0,42-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088654.1,46-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088653.0,23-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088652.0,28-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088651.0,32-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088650.0,33-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088649.1,35-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088648.1,36-12,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088647.0,42-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088646.1,47-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088645.0,24-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088644.1,28-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088643.1,32-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088642.0,33-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088641.1,35-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088640.0,37-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088639.1,42-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088638.0,47-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088637.0,25-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088636.1,28-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088635.0,32-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088634.0,33-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088633.0,36-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088632.1,38-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088631.0,42-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088630.1,48-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088629.1,49-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088628.1,53-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088627.0,56-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088626.1,58-10,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088625.0,60-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088624.1,62-13,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088623.0,B4,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088622.1,50-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088621.0,54-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088620.0,56-09,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088619.0,59-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088618.0,60-10,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088617.0,63-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088616.0,B5,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088615.0,51-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088614.0,54-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088613.1,57-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088612.0,59-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088611.1,61-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088610.0,63-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088609.0,B6,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088608.1,52-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088607.0,54-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088606.1,57-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088605.0,59-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088604.0,62-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088603.0,63-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088602.1,52-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088601.0,55-01,,,,,Private
