user_name,quality_grade,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name
Mallory Hall,research,Diabrotica undecimpunctata,Spotted Cucumber Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diabrotica
Ethan,needs_id,Gryllus pennsylvanicus,Fall Field Cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus
Barbara Keeler,needs_id,Opuntia macrorhiza,prairie pricklypear,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia
Mallory Hall,research,Dione vanillae,Gulf Fritillary,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione
,research,Ulmus crassifolia,Cedar Elm,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus
Calle Erich,needs_id,Cryptocheilus attenuatum,,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cryptocheilus
"",needs_id,Pluchea,marsh fleabanes,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pluchea
"",research,Portulaca oleracea,Common Purslane,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Portulacaceae,Portulaca
christopher morris,needs_id,Magnoliopsida,dicots,Plantae,Tracheophyta,Magnoliopsida,,,
,research,Maclura pomifera,Osage-orange,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Maclura
,needs_id,Tragia,noseburns,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Tragia
Northcut,research,Papilio glaucus,Eastern Tiger Swallowtail,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
,research,Ruellia nudiflora,violet ruellia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ruellia
Justin Obrien,research,Plecia nearctica,Common Lovebug,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Plecia
Caterina Provost-Smith,research,Euphorbia bicolor,snow-on-the-prairie,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia
Rick Travis,research,Ischnura ramburii,Rambur's Forktail,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura
Colleen Fitzpatrick,research,Danaus plexippus,Monarch,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus
Dale Clark,research,Sphinx libocedrus,Incense Cedar Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx
,needs_id,Acalypha,three-seeded mercuries,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha
outdoorcrazy,research,Eumorpha achemon,Achemon Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Eumorpha
,needs_id,Cotinis,Green June Beetles,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cotinis
,needs_id,Physalis pubescens,hairy groundcherry,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Physalis
Cyrus Allen,research,Sapindus drummondii,Western Soapberry,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Sapindus
,research,Croton monanthogynus,Prairie Tea,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton
Cyrus Allen,research,Sideroxylon lanuginosum,Gum bumelia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Sideroxylon
,research,Phalaris caroliniana,Carolina canarygrass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phalaris
Alessandro Franchini,needs_id,Curculio,Nut and Acorn Weevils,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Curculio
Cyrus Allen,research,Tramea onusta,Red Saddlebags,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Tramea
,needs_id,Rubus trivialis,southern dewberry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus
,research,Maclura pomifera,Osage-orange,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Maclura
,needs_id,Carya illinoinensis,pecan,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya
Brooks Oakley,research,Bombus pensylvanicus,American Bumble Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
,needs_id,Acrididae,Short-horned Grasshoppers,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,
,needs_id,Chalybion californicum,Common Blue Mud-dauber Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Chalybion
,needs_id,Magnoliopsida,dicots,Plantae,Tracheophyta,Magnoliopsida,,,
,research,Chlorion aerarium,Steel-blue Cricket-hunter Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Chlorion
Jennifer Kate Stuart,needs_id,Noctuoidea,Owlet Moths and Allies,Animalia,Arthropoda,Insecta,Lepidoptera,,
,needs_id,Chortophaga australior,Southern Green-striped Grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chortophaga
,research,Gleditsia triacanthos,honey locust,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia
Jennifer Kate Stuart,research,Toxicodendron radicans,eastern poison ivy,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron
,research,Gleditsia triacanthos,honey locust,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia
Sophie Lin,needs_id,Croton lindheimeri,Lindheimer's Doveweed,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton
,research,Euphorbia bicolor,snow-on-the-prairie,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia
,research,Bombus pensylvanicus,American Bumble Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
Jennifer Kate Stuart,research,Camponotus americanus,American Carpenter Ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus
Cyrus Allen,needs_id,Diogmites angustipennis,Prairie Robber Fly,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Diogmites
,research,Papilio polyxenes,Black Swallowtail,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
Jacob Calvit,research,Paonias excaecata,Blinded Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Paonias
,needs_id,Pepsis mildei,Milde's Tarantula-hawk Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Pepsis
Meri Kuusi-Shields,research,Nathalis iole,Dainty Sulphur,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Nathalis
Meri Kuusi-Shields,research,Grindelia ciliata,Spanish Gold,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Grindelia
Meri Kuusi-Shields,needs_id,Rhus glabra,smooth sumac,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus
Meri Kuusi-Shields,research,Croton monanthogynus,Prairie Tea,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton
Meri Kuusi-Shields,research,Heliotropium indicum,Indian Heliotrope,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Heliotropium
Meri Kuusi-Shields,research,Tridens strictus,Longspike Tridens,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Tridens
Meri Kuusi-Shields,needs_id,Cyperus odoratus,Fragrant flatsedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus
Meri Kuusi-Shields,needs_id,Helianthus hirsutus,stiff-hair sunflower,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus
Meri Kuusi-Shields,research,Chamaecrista fasciculata,partridge pea,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista
Meri Kuusi-Shields,research,Hexasepalum teres,rough buttonweed,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Hexasepalum
Meri Kuusi-Shields,research,Eupatorium serotinum,late boneset,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eupatorium
Meri Kuusi-Shields,research,Xanthium strumarium,rough cocklebur,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Xanthium
Meri Kuusi-Shields,needs_id,Argia apicalis,Blue-fronted Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Meri Kuusi-Shields,research,Pyganodon grandis,Giant Floater,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Pyganodon
"",research,Asterocampa celtis,Hackberry Emperor,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Asterocampa
"",research,Sida abutilifolia,spreading sida,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida
"",research,Oenothera speciosa,Pinkladies,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera
"",needs_id,Heliantheae,sunflowers and allies,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,
sassyn,research,Leptoglossus clypealis,Western Leaf-footed Bug,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus
"",research,Ambrosia artemisiifolia,common ragweed,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia
Meri Kuusi-Shields,research,Teucrium canadense,American germander,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium
Meri Kuusi-Shields,research,Croton lindheimeri,Lindheimer's Doveweed,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton
Meri Kuusi-Shields,research,Euploca procumbens,fourspike heliotrope,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Euploca
Tamara Basham,needs_id,Brachynemurus abdominalis,Bellied Antlion,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,Brachynemurus
,research,Neltuma glandulosa,honey mesquite,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Neltuma
Jennifer Kate Stuart,needs_id,Phalangioidea,,Animalia,Arthropoda,Arachnida,Opiliones,,
,research,Carya illinoinensis,pecan,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya
,needs_id,Hydrilla verticillata,Hydrilla,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Hydrilla
Shelby Villescaz-Best,research,Callicarpa americana,American beautyberry,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa
Shelby Villescaz-Best,research,Cornus drummondii,roughleaf dogwood,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus
Ethan,research,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Shelby Villescaz-Best,research,Ulmus americana,American elm,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus
,research,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
,needs_id,Nymphaeaceae,Waterlily Family,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,
Shelby Villescaz-Best,research,Quercus nigra,water oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
,needs_id,Argia immunda,Kiowa Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Shelby Villescaz-Best,research,Apis mellifera,Western Honey Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
Veronica Weber,research,Callicarpa americana,American beautyberry,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa
Shelby Villescaz-Best,needs_id,Nuphar,yellow pond-lilies,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nuphar
Veronica Weber,needs_id,Nuphar,yellow pond-lilies,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nuphar
Brooke Prater,needs_id,Polistes exclamans,Guinea Paper Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes
Shelby Villescaz-Best,research,Salix nigra,black willow,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix
,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
Veronica Weber,needs_id,Abacidus,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus
,research,Corbicula fluminea,Asian Clam,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula
Shelby Villescaz-Best,needs_id,Yucca,Yuccas,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca
Shelby Villescaz-Best,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
Brooke Prater,research,Callicarpa americana,American beautyberry,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa
,research,Callicarpa americana,American beautyberry,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa
Shelby Villescaz-Best,research,Cocculus carolinus,Carolina snailseed,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Menispermaceae,Cocculus
,needs_id,Condylostylus,,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Condylostylus
,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
Ethan,research,Celtis laevigata,sugar hackberry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis
Shelby Villescaz-Best,needs_id,Cryptotympanina,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,
,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
,research,Quercus macrocarpa,bur oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
,research,Apis mellifera,Western Honey Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
,research,Parthenocissus quinquefolia,Virginia creeper,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus
Veronica Weber,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
Shelby Villescaz-Best,research,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
,research,Callicarpa americana,American beautyberry,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa
,needs_id,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Shelby Villescaz-Best,research,Symphoricarpos orbiculatus,coralberry,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Symphoricarpos
,needs_id,Solenopsis,Solenopsis Fire Ants and Thief Ants,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis
Veronica Weber,needs_id,Persicaria,"knotweeds, smartweeds, and waterpeppers",Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria
,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
,needs_id,Leptoglossus phyllopus,Eastern Leaf-footed Bug,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus
,research,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Veronica Weber,needs_id,Polistes exclamans,Guinea Paper Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes
,needs_id,Persicaria,"knotweeds, smartweeds, and waterpeppers",Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria
,needs_id,Rosales,"roses, elms, figs, and allies",Plantae,Tracheophyta,Magnoliopsida,Rosales,,
,needs_id,Polistes exclamans,Guinea Paper Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes
Judy,research,Erythemis simplicicollis,Eastern Pondhawk,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis
,research,Metaltella simoni,South American Toothed Hacklemesh Weaver,Animalia,Arthropoda,Arachnida,Araneae,Desidae,Metaltella
,research,Quercus nigra,water oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
Veronica Weber,research,Argia immunda,Kiowa Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Shelby Villescaz-Best,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
,needs_id,Persicaria lapathifolia,pale smartweed,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria
,research,Callicarpa americana,American beautyberry,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa
,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
Veronica Weber,research,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
,research,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
,needs_id,Yucca,Yuccas,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca
Ethan,needs_id,Ischnura posita,Fragile Forktail,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura
Ethan,research,Argia immunda,Kiowa Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
,needs_id,Coenagrionidae,Narrow-winged Damselflies,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,
,research,Celtis laevigata,sugar hackberry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis
Shelby Villescaz-Best,research,Parthenocissus quinquefolia,Virginia creeper,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus
Ethan,needs_id,Persicaria,"knotweeds, smartweeds, and waterpeppers",Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria
Shelby Villescaz-Best,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
Veronica Weber,research,Ligustrum quihoui,Quihoui privet,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum
,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
Ethan,research,Polistes exclamans,Guinea Paper Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes
,research,Apis mellifera,Western Honey Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
Shelby Villescaz-Best,research,Rhus glabra,smooth sumac,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus
,research,Campsis radicans,American trumpet vine,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Campsis
,research,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
,research,Corbicula fluminea,Asian Clam,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula
Ethan,needs_id,Myrmentoma,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus
,research,Apis mellifera,Western Honey Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
,research,Polygonia interrogationis,Question Mark,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia
,research,Lygaeus kalmii,Small Milkweed Bug,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Lygaeus
Veronica Weber,research,Polygonia interrogationis,Question Mark,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia
,needs_id,Mecaphesa celer,Swift Crab Spider,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Mecaphesa
Meri Kuusi-Shields,research,Albizia julibrissin,Persian silk tree,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia
,research,Solanum elaeagnifolium,silverleaf nightshade,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum
,research,Convolvulus arvensis,field bindweed,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus
Rick Travis,needs_id,Cesonia,,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Cesonia
,research,Hileithia magualis,Magician Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Hileithia
,research,Dione vanillae,Gulf Fritillary,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione
Michael Champlin,research,Ruellia nudiflora,violet ruellia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ruellia
Jim Dobbins,research,Diastictis fracturalis,Fractured Western Snout,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Diastictis
Meri Kuusi-Shields,needs_id,Litomegachile,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile
Jim Dobbins,research,Argia moesta,Powdered Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Alessandro Franchini,needs_id,Trachyrhachys kiowa,Kiowa Grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Trachyrhachys
Bobbie Gaudette,research,Erythemis simplicicollis,Eastern Pondhawk,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis
,research,Corbicula fluminea,Asian Clam,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula
Alessandro Franchini,needs_id,Holcostethus limbolarius,,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Holcostethus
,research,Vanessa atalanta,Red Admiral,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa
,needs_id,Vitis,grapevines,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitis
,needs_id,Ulmus,elms,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus
,needs_id,Fraxinus,ashes,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus
,research,Argia sedula,Blue-ringed Dancer,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
,research,Argiope aurantia,Yellow Garden Spider,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope
