observed_on,user_name,quality_grade,lat,long,scientific_name,common_name,kingdom,phylum,class,order,family,genus
4/1/2023,Cara L,research,33.01495833,-97.08328883,Alypia octomaculata,Eight-spotted Forester Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Alypia
4/1/2023,Alex M,research,32.61374552,-96.97095428,Euerythra phasma,Red-tailed Specter Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euerythra
4/1/2023,,needs_id,32.55992045,-96.98510108,Phosphila miselioides,Spotted Phosphila Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Phosphila
4/1/2023,Jada Martinez,research,33.25134608,-97.14810119,Oenothera triloba,Stemless Evening Primrose,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera
4/1/2023,Ann Sansone,research,32.75081333,-96.75324167,Calyptocarpus vialis,straggler daisy,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Calyptocarpus
4/1/2023,,needs_id,33.01698434,-96.56779718,Pyrrhopappus,desert-chicories,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pyrrhopappus
4/1/2023,,research,33.01731565,-96.56807439,Oenothera speciosa,Pinkladies,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera
4/1/2023,Alex M,research,32.6135532,-96.97101463,Actias luna,Luna Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias
4/1/2023,,needs_id,33.01790163,-96.56781454,Daucus carota,Queen Anne's lace,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus
4/1/2023,,needs_id,32.53662109,-97.32276154,Sonchus asper,prickly sowthistle,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus
4/1/2023,Jimena Vivanco,research,32.70405951,-96.70547553,Harmonia axyridis,Asian Lady Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia
4/1/2023,,needs_id,33.01775103,-96.56751369,Erigeron,fleabanes and horseweeds,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron
4/1/2023,JD James,research,33.12900912,-96.57726127,Lindheimera texana,Texas yellow star,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lindheimera
4/1/2023,Jimena Vivanco,research,32.70410712,-96.70594288,Melilotus indicus,small melilot,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Melilotus
4/1/2023,,needs_id,32.76289699,-97.19734169,Miridae,Plant Bugs,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,
4/1/2023,,needs_id,33.10871542,-97.36190367,Heliantheae,sunflowers and allies,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,
4/1/2023,,research,33.01775312,-96.56729072,Andropogon tenuispatheus,maritime bluestem,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon
4/1/2023,,needs_id,33.01776386,-96.56722607,Populus,"poplars, cottonwoods, and aspens",Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus
4/1/2023,,needs_id,32.31840197,-96.620401,Vicia villosa,hairy vetch,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia
4/1/2023,,needs_id,33.01766768,-96.56695871,Schizachyrium scoparium,little bluestem,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Schizachyrium
4/1/2023,,needs_id,32.313212,-96.61481497,Nothoscordum,,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Nothoscordum
4/1/2023,,needs_id,33.01799475,-96.56726524,Andropogon virginicus,broomsedge bluestem,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon
4/1/2023,,needs_id,33.01774033,-96.5667522,Packera tampicana,Great Plains Ragwort,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Packera
4/1/2023,Laura B in Waxahachie,needs_id,32.49781389,-96.95852222,Magnoliopsida,dicots,Plantae,Tracheophyta,Magnoliopsida,,,
4/1/2023,Parker Chambers,needs_id,32.98090255,-96.56697169,Prunus mexicana,Mexican Plum,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus
4/1/2023,,needs_id,32.73503141,-97.30422327,Plantae,plants,Plantae,,,,,
4/1/2023,,needs_id,33.05105761,-96.79811851,Diplotaxis,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Diplotaxis
4/1/2023,,needs_id,32.73500601,-97.30425504,Ulmus,elms,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus
4/1/2023,Greg Hughes,needs_id,32.73528706,-97.3044212,Quercus stellata,post oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
4/1/2023,,needs_id,33.05107911,-96.79812245,Podisus maculiventris,Spined Soldier Bug,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Podisus
4/1/2023,Greg Hughes,research,32.7354287,-97.30432155,Quercus macrocarpa,bur oak,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
4/1/2023,Greg Hughes,needs_id,32.73537385,-97.30449719,Virentes,live oaks,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
4/1/2023,Greg Hughes,research,32.73528089,-97.30454954,Erodium cicutarium,Redstem Stork's-bill,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium
4/1/2023,,research,32.83337402,-97.46823883,Salvia coccinea,Tropical sage,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia
4/1/2023,,research,32.82745361,-97.44181061,Ipomopsis rubra,standing cypress,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Ipomopsis
4/1/2023,,needs_id,33.23999205,-97.10275233,Euphorbia dentata,green poinsettia,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia
4/1/2023,MSchrieb,needs_id,33.06177639,-96.98910462,Torilis arvensis,common hedge parsley,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Torilis
4/1/2023,MSchrieb,needs_id,33.0618007,-96.98911929,Geranium,geraniums and cranesbills,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium
4/1/2023,,research,32.68328667,-96.93425833,Danaus plexippus,Monarch,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus
4/1/2023,,needs_id,32.73480929,-97.30444883,Torilis,hedge parslies,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Torilis
4/1/2023,,research,32.84231567,-97.48331451,Phidippus audax,Bold Jumping Spider,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus
4/1/2023,Sam Travis,research,33.05347476,-96.67070963,Nothoscordum bivalve,crowpoison,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Nothoscordum
4/1/2023,,needs_id,32.73618317,-96.46063995,Ambrosia trifida,giant ragweed,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia
4/1/2023,,needs_id,33.01771016,-96.56629993,Senecio ampullaceus,Texas ragwort,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio
4/1/2023,Greg Hughes,research,32.73489315,-97.30454767,Medicago polymorpha,bur clover,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago
4/1/2023,Greg Hughes,needs_id,32.7348848,-97.30469312,Taraxacum,dandelions,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum
4/1/2023,,research,32.73677,-96.46080833,Sherardia arvensis,Field madder,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Sherardia
4/1/2023,,needs_id,32.737,-96.46054167,Quercus,oaks,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
4/1/2023,Greg Hughes,research,32.7347591,-97.30495461,Ulmus crassifolia,Cedar Elm,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus
4/1/2023,,research,33.01762318,-96.56592951,Anemone berlandieri,Tenpetal Anemone,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone
4/1/2023,Greg Hughes,needs_id,32.73465827,-97.30490715,Plantago rhodosperma,redseed plantain,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago
4/1/2023,Greg Hughes,research,32.73450119,-97.30485588,Ligustrum quihoui,Quihoui privet,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum
4/1/2023,Sam Travis,needs_id,33.06501643,-96.66979026,Packera obovata,roundleaf ragwort,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Packera
4/1/2023,Jason,research,33.07628569,-96.71856614,Allium drummondii,Drummond's Onion,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium
4/1/2023,Greg Hughes,research,32.73453805,-97.30493904,Solenopsis invicta,Red Imported Fire Ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis
4/1/2023,Michael Sawey,needs_id,32.73593126,-97.30469518,Erodium,stork's-bills,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium
4/1/2023,,needs_id,32.72937012,-97.40847015,Muscari neglectum,Grape hyacinth,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Muscari
4/1/2023,,needs_id,33.01769635,-96.56578625,Lathyrus hirsutus,Hairy Vetchling,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus
4/1/2023,Greg Hughes,needs_id,32.73352696,-97.3052155,Eclipta prostrata,false daisy,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta
4/1/2023,,research,33.01778048,-96.56549918,Packera plattensis,Prairie Groundsel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Packera
4/1/2023,Greg Hughes,research,32.73446363,-97.30482147,Toxicodendron radicans,eastern poison ivy,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron
4/1/2023,,needs_id,33.01777401,-96.56547555,Packera,American groundsels and ragworts,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Packera
4/1/2023,Greg Hughes,research,32.73437861,-97.30490977,Allium canadense,Canadian Meadow garlic,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium
4/1/2023,Greg Hughes,needs_id,32.73417243,-97.30505966,Allium,onions,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium
4/1/2023,,research,33.01776508,-96.56551122,Viola rafinesquei,American field pansy,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola
4/1/2023,Greg Hughes,research,32.73428853,-97.30484602,Acer negundo,boxelder,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer
4/1/2023,Drew Hooks,research,33.215038,-97.1545798,Diabrotica undecimpunctata,Spotted Cucumber Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diabrotica
4/1/2023,Greg Hughes,research,32.73435917,-97.3048841,Ulmus americana,American elm,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus
4/1/2023,,needs_id,33.01747096,-96.56540647,Rubus flagellaris,Common Dewberry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus
4/1/2023,,research,33.11338061,-96.60644003,Vitex agnus-castus,Lilac chaste tree,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Vitex
4/1/2023,,research,32.73368316,-97.14138625,Lupinus texensis,Texas bluebonnet,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus
4/1/2023,James Duke,research,32.88745499,-97.15640259,Aphis nerii,Oleander Aphid,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis
4/1/2023,Greg Hughes,needs_id,32.73429811,-97.30489588,Cladophorales,,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,,
4/1/2023,,research,33.25155126,-97.14964936,Claytonia virginica,Virginia Springbeauty,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Claytonia
4/1/2023,,research,33.01746928,-96.56531155,Arnoglossum plantagineum,prairie Indian plantain,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arnoglossum
4/1/2023,,needs_id,32.73462606,-97.30461655,Nemophila phacelioides,Texas baby blue eyes,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Nemophila
4/1/2023,,research,32.9618613,-96.45439343,Asclepias viridis,green antelopehorns,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias
4/1/2023,Greg Hughes,needs_id,32.73434758,-97.30515753,Oxalis corniculata,Creeping Woodsorrel,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis
4/1/2023,,research,33.01756557,-96.56501335,Juniperus virginiana,eastern redcedar,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus
4/1/2023,,needs_id,33.01829109,-96.56689975,Liatris punctata,dotted gayfeather,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Liatris
4/1/2023,Eleanor Forfang-Brockman,research,32.7025312,-97.16389806,Lonicera albiflora,western white honeysuckle,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera
4/1/2023,,needs_id,33.21765826,-97.15336411,Sarcophaginae,Typical Flesh Flies,Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,
4/1/2023,Greg Hughes,research,32.73462171,-97.305338,Phyciodes phaon,Phaon Crescent,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes
4/1/2023,,needs_id,33.17478814,-96.70507757,Pelazoneuron kunthii,Widespread Maiden Fern,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Pelazoneuron
4/1/2023,,research,33.17643219,-96.86276134,Epiaeschna heros,Swamp Darner,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Epiaeschna
4/1/2023,Sam Travis,research,33.09859469,-96.66677345,Amphibolips confluenta,Spongy Oak Apple Gall Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Amphibolips
4/1/2023,Greg Hughes,needs_id,32.73469599,-97.30551115,Rumex,docks,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex
4/1/2023,,needs_id,33.01764799,-96.56478735,Panicoideae,"bristlegrasses, bluestems, paspalums, and allies",Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,
4/1/2023,Greg Hughes,needs_id,32.73475991,-97.30563184,Tracheophyta,vascular plants,Plantae,Tracheophyta,,,,
4/1/2023,,needs_id,32.61073012,-96.97395922,Juniperus ashei,Ashe juniper,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus
4/1/2023,,research,32.734637,-97.30472568,Sapindus drummondii,Western Soapberry,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Sapindus
4/1/2023,Greg Hughes,needs_id,32.73511007,-97.30563325,Hedypnois rhagadioloides,Cretanweed,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hedypnois
4/1/2023,Greg Hughes,research,32.7352026,-97.30555722,Erodium texanum,Texas stork's bill,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium
4/1/2023,Emily Black,research,32.83295833,-96.77705333,Malacosoma disstria,Forest Tent Caterpillar Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma
4/1/2023,Danielle Dunn,needs_id,33.0613405,-96.73655995,Noctuidae,Cutworm Moths and Allies,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,
4/1/2023,Danielle Dunn,needs_id,33.0613405,-96.73655995,Pogonomyrmex barbatus,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pogonomyrmex
4/1/2023,,research,32.60923542,-96.9742987,Parthenocissus quinquefolia,Virginia creeper,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus
4/1/2023,,needs_id,32.98590088,-96.75090027,Malvaviscus arboreus,Turk's cap,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvaviscus
4/1/2023,Greg Hughes,research,32.73452833,-97.30554667,Apis mellifera,Western Honey Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis
4/1/2023,,research,32.73507805,-97.30418346,Capsella bursa-pastoris,shepherd's-purse,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella
4/1/2023,,research,32.73595564,-97.30497165,Veronica persica,bird's-eye speedwell,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica
4/1/2023,Greg Hughes,research,32.73537291,-97.30528708,Neltuma glandulosa,honey mesquite,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Neltuma
4/1/2023,Ashley Leecock,research,32.82772355,-96.77170177,Parietaria pensylvanica,Pennsylvania pellitory,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Parietaria
4/1/2023,,needs_id,32.73511137,-97.30429854,Triodanis,Venus' Looking-Glasses,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Triodanis
4/1/2023,Greg Hughes,research,32.73540197,-97.30529173,Sideroxylon lanuginosum,Gum bumelia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Sideroxylon
4/1/2023,,needs_id,32.60747877,-96.9749063,Fraxinus,ashes,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus
4/1/2023,,research,32.83010864,-97.46240997,Glandularia pumila,Dwarf Verbena,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Glandularia
4/1/2023,Greg Hughes,research,32.73537548,-97.30499866,Arundo donax,giant reed,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundo
4/1/2023,,needs_id,33.01676808,-96.5651254,Carex,true sedges,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex
4/1/2023,,research,32.60679821,-96.97546064,Nandina domestica,Heavenly bamboo,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Nandina
4/1/2023,,needs_id,33.01688163,-96.56532929,Carex microdonta,Littletooth Sedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex
4/1/2023,Ecologist Steve,needs_id,33.25126482,-97.1491693,Scarabaeidae,Scarabs,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,
4/1/2023,,needs_id,33.01684264,-96.565457,Opuntia,Prickly Pears,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia
4/1/2023,,needs_id,32.6065539,-96.9751731,Chasmanthium latifolium,inland wood oats,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chasmanthium
4/1/2023,Michele Frazier,research,32.734825,-97.30425333,Melia azedarach,Chinaberry,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia
4/1/2023,Michele Frazier,needs_id,32.73471167,-97.30435333,Myrmicinae,Myrmicine Ants,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,
4/1/2023,,research,33.01670142,-96.56549996,Gleditsia triacanthos,honey locust,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia
4/1/2023,Bill Collins,needs_id,32.73462,-97.30455833,Viola,violets,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola
4/1/2023,Amy,research,33.0823381,-97.2665678,Maclura pomifera,Osage-orange,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Maclura
4/1/2023,Michele Frazier,needs_id,32.73442833,-97.30448833,Poa,Bluegrasses,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poa
4/1/2023,Thomas Rocha,research,32.89629167,-97.25295556,Neoclytus acuminatus,Red-headed Ash Borer,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Neoclytus
4/1/2023,,research,32.60657734,-96.97328946,Frangula caroliniana,Carolina buckthorn,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Frangula
4/1/2023,Michele Frazier,research,32.73423333,-97.30498667,Lonicera japonica,Japanese honeysuckle,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera
4/1/2023,,research,32.60668555,-96.97342225,Cornus florida,flowering dogwood,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus
4/1/2023,Michele Frazier,research,32.73356667,-97.30616167,Photinia serratifolia,Chinese Photinia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Photinia
4/1/2023,Emily Black,needs_id,32.83211167,-96.77693833,Polygonum aviculare,Prostrate Knotweed,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum
4/1/2023,Michele Frazier,needs_id,32.73350333,-97.30619167,Anethum graveolens,Dill,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anethum
4/1/2023,Jason,needs_id,33.07649516,-96.72010996,Eleocharis palustris,Common Spike-rush,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis
4/1/2023,Bill Collins,research,32.73456167,-97.30474167,Carex blanda,eastern woodland sedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex
4/1/2023,Sarah Goodrich,needs_id,33.01327602,-97.17681558,Ichneumonidae,Ichneumonid Wasps,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,
4/1/2023,Michele Frazier,research,32.73344667,-97.30626667,Valerianella amarella,Bitter cornsalad,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valerianella
4/1/2023,Michele Frazier,research,32.73388333,-97.30543667,Taraxacum officinale,common dandelion,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum
4/1/2023,Michele Frazier,research,32.73344667,-97.30625333,Engelmannia peristenia,Engelmann daisy,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Engelmannia
4/1/2023,Bill Collins,research,32.73450833,-97.30471167,Vicia sativa,Common Vetch,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia
4/1/2023,Michele Frazier,research,32.73342833,-97.306275,Linum pratense,Meadow Flax,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Linaceae,Linum
4/1/2023,Bill Collins,needs_id,32.73498833,-97.30433667,Plantago,plantains,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago
4/1/2023,,needs_id,33.24008374,-97.10311577,Sonchus oleraceus,Common Sow-thistle,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus
